sample       total_count  b_cell%    cd8_t_cell%  cd4_t_cell%  nk_cell%   monocyte%   
sample04869  112112       8.9        23.6         34.46        13.03      20.01       
sample04870  98125        4.66       28.28        30.93        13.44      22.69       
sample04871  110206       15.31      22.36        35.29        16.63      10.41       
sample04872  106763       10.23      28.85        28.25        14.98      17.69       
sample04873  96560        10.6       20.38        30.75        12.7       25.57       
sample04874  103112       8.7        22.61        30.54        14.53      23.61       
sample04875  104615       8.65       25.39        32.22        13.11      20.63       
sample04876  94027        8.53       21.84        35.3         18.57      15.76       
sample04877  110023       5.68       32.97        24.74        17.43      19.17       
sample04878  106988       11.25      27.63        24.8         23.26      13.06       
sample04879  101659       9.06       31.41        25.31        16.33      17.9        
sample04880  102871       11.84      21.67        27.97        14.39      24.13       
sample04881  98781        12.0       26.06        29.48        16.87      15.6        
sample04882  100537       8.89       21.06        32.37        13.14      24.54       
sample04883  102113       9.19       26.25        26.99        18.26      19.31       
sample04884  100717       7.04       31.95        36.2         9.79       15.02       
sample04885  99141        13.89      23.81        21.5         18.0       22.8        
sample04886  91120        7.51       18.91        29.79        21.97      21.83       
sample04887  109649       22.11      19.7         25.69        11.37      21.13       
sample04888  112172       15.65      13.98        33.34        16.37      20.66       
sample04889  104338       6.32       22.38        28.44        13.25      29.61       
sample04890  96188        7.23       24.39        30.78        17.13      20.47       
sample04891  94391        5.82       28.41        35.86        15.15      14.76       
sample04892  97792        7.62       30.58        28.73        12.38      20.69       
sample04893  102422       9.48       25.87        34.96        12.59      17.1        
sample04894  93843        14.31      25.11        28.19        12.6       19.79       
sample04895  105562       15.49      36.92        25.6         7.38       14.62       
sample04896  104839       12.15      21.25        32.06        17.18      17.36       
sample04897  101450       11.28      19.3         33.52        17.28      18.62       
sample04898  109443       7.64       26.51        32.44        9.03       24.38       
sample04899  106264       15.05      17.45        21.6         12.7       33.2        
sample04900  111478       12.66      28.97        24.06        13.36      20.96       
sample04901  111998       12.42      21.46        30.91        14.33      20.88       
sample04902  109806       7.97       20.61        30.67        16.71      24.03       
sample04903  97480        8.59       24.22        32.38        16.18      18.64       
sample04904  102390       11.27      19.21        26.69        17.66      25.17       
sample04905  92903        7.34       29.87        33.88        10.21      18.69       
sample04906  104770       5.45       26.68        31.57        15.09      21.21       
sample04907  101239       10.47      23.42        29.57        12.67      23.87       
sample04908  107660       5.29       30.64        29.9         15.95      18.22       
sample04909  104743       9.82       24.2         37.73        7.91       20.35       
sample04910  106266       9.92       35.76        28.4         9.77       16.14       
sample04911  96048        13.82      22.56        32.49        12.73      18.4        
sample04912  103988       7.38       27.97        22.16        20.3       22.19       
sample04913  101552       11.07      34.43        24.58        14.17      15.76       
sample04914  107921       7.93       21.0         33.38        14.59      23.1        
sample04915  105944       10.66      21.28        28.36        17.3       22.41       
sample04916  99295        10.24      24.33        28.74        15.83      20.85       
sample04917  103085       8.32       16.56        28.81        27.74      18.57       
sample04918  94727        9.68       22.49        31.83        12.14      23.86       
sample04919  102783       8.49       21.85        35.24        17.78      16.64       
sample04920  90042        8.3        20.27        31.72        15.66      24.05       
sample04921  103835       7.9        29.82        26.93        11.59      23.77       
sample04922  108567       10.23      22.0         28.38        25.39      14.0        
sample04923  91990        12.15      18.0         33.9         11.96      23.99       
sample04924  107803       10.85      23.69        30.99        13.79      20.68       
sample04925  104254       10.27      30.45        35.94        10.69      12.65       
sample04926  93169        4.17       34.55        20.79        14.44      26.05       
sample04927  93888        8.26       16.56        32.56        17.95      24.68       
sample04928  102827       9.81       26.81        32.86        12.94      17.58       
sample04929  89491        7.03       16.79        43.3         16.92      15.96       
sample04930  101647       9.78       23.33        32.21        15.76      18.92       
sample04931  101299       7.01       28.71        32.44        13.7       18.13       
sample04932  95383        6.56       17.72        17.27        27.43      31.02       
sample04933  95201        10.79      21.08        24.9         18.24      24.99       
sample04934  93060        5.54       22.59        29.03        18.41      24.44       
sample04935  107083       10.95      20.97        28.4         14.85      24.84       
sample04936  97396        12.09      21.43        31.83        16.7       17.94       
sample04937  97600        16.58      24.26        27.49        13.84      17.82       
sample04938  107015       10.26      21.45        30.18        16.13      21.99       
sample04939  94977        13.93      24.41        29.1         17.72      14.84       
sample04940  97746        8.65       30.2         24.91        18.18      18.06       
sample04941  109111       9.76       23.9         35.33        12.87      18.13       
sample04942  98265        9.64       24.92        27.1         16.54      21.8        
sample04943  95456        12.94      26.96        26.63        16.3       17.16       
sample04944  104297       8.3        20.53        33.01        18.26      19.9        
sample04945  93060        9.69       16.91        34.67        14.01      24.72       
sample04946  110583       8.51       23.82        33.58        16.45      17.65       
sample04947  94918        4.91       23.45        26.18        19.22      26.25       
sample04948  98124        12.67      21.15        30.53        9.74       25.9        
sample04949  109488       10.75      27.19        26.7         19.79      15.58       
sample04950  91351        8.17       26.14        26.85        18.21      20.63       
sample04951  89527        9.07       22.66        32.06        19.14      17.06       
sample04952  96067        7.48       26.05        28.47        13.64      24.37       
sample04953  104896       11.35      23.05        24.88        14.87      25.85       
sample04954  92286        14.71      19.87        26.52        19.72      19.18       
sample04955  103244       12.95      23.21        33.71        13.07      17.07       
sample04956  110602       18.85      25.55        31.26        6.97       17.38       
sample04957  92863        6.99       19.96        37.7         20.23      15.12       
sample04958  95634        13.67      19.85        30.58        14.81      21.08       
sample04959  95714        9.63       28.41        33.9         9.26       18.8        
sample04960  102975       14.22      27.05        29.12        13.14      16.47       
sample04961  109721       5.44       25.05        27.44        19.73      22.33       
sample04962  90168        13.99      24.21        23.9         15.43      22.48       
sample04963  101308       10.6       21.69        42.56        8.28       16.88       
sample04964  106419       12.94      25.95        25.02        15.92      20.18       
sample04965  102645       11.11      22.97        32.44        11.27      22.2        
sample04966  96256        6.58       31.17        29.71        14.89      17.64       
sample04967  108343       11.05      29.33        26.75        15.18      17.69       
sample04968  104729       9.27       28.06        32.5         8.22       21.94       
sample04969  95394        9.07       19.59        32.08        13.99      25.28       
sample04970  111338       4.98       25.35        36.65        13.3       19.72       
sample04971  104426       8.04       23.8         36.54        12.36      19.27       
sample04972  92971        8.48       36.36        26.39        15.27      13.5        
sample04973  97304        10.54      24.69        31.93        15.54      17.3        
sample04974  108772       12.87      28.29        25.44        13.28      20.13       
sample04975  98038        12.54      26.49        26.92        15.4       18.65       
sample04976  98469        7.78       24.07        30.72        23.18      14.25       
sample04977  97315        10.22      25.95        34.43        14.08      15.32       
sample04978  97664        9.79       33.57        23.09        9.96       23.59       
sample04979  108115       7.89       18.53        34.14        14.63      24.81       
sample04980  107749       4.83       23.82        18.18        21.4       31.77       
sample04981  95829        7.71       23.56        31.37        17.49      19.87       
sample04982  95303        5.99       21.39        40.7         15.34      16.59       
sample04983  96694        9.76       21.96        33.69        12.44      22.15       
sample04984  94560        9.66       21.41        31.91        13.41      23.62       
sample04985  107137       8.79       26.89        27.52        19.7       17.09       
sample04986  109346       11.63      28.27        26.04        12.62      21.43       
sample04987  108872       12.84      25.02        33.6         14.78      13.76       
sample04988  96192        9.83       28.5         31.38        12.1       18.19       
sample04989  109994       7.46       21.24        30.86        15.19      25.25       
sample04990  109002       7.08       21.98        34.55        19.99      16.39       
sample04991  109220       13.9       30.53        23.79        16.02      15.76       
sample04992  101737       10.15      23.84        27.63        17.37      21.01       
sample04993  94501        15.42      17.62        38.14        13.09      15.73       
sample04994  106843       5.77       29.51        28.84        15.29      20.59       
sample04995  84948        14.31      21.35        32.81        18.45      13.08       
sample04996  101353       13.06      24.44        21.5         14.73      26.27       
sample04997  89145        10.82      28.61        29.98        9.83       20.76       
sample04998  94205        7.74       19.74        35.49        15.28      21.74       
sample04999  93856        12.53      25.18        32.38        15.23      14.68       
sample05000  99436        14.63      28.62        30.25        12.94      13.55       
sample05001  99674        9.92       21.31        29.18        17.22      22.37       
sample05002  92581        12.0       23.2         32.79        13.62      18.38       
sample05003  92555        15.64      24.57        35.28        8.68       15.83       
sample05004  106320       11.69      25.75        32.49        16.62      13.45       
sample05005  91113        13.29      24.27        25.1         15.84      21.51       
sample05006  108254       10.6       31.78        28.28        11.72      17.63       
sample05007  93127        9.76       31.12        26.56        17.8       14.76       
sample05008  102874       11.81      19.37        32.77        17.92      18.13       
sample05009  107675       8.68       25.31        39.41        11.46      15.14       
sample05010  100321       3.69       31.68        32.83        9.9        21.9        
sample05011  107737       9.64       24.6         26.58        14.33      24.84       
sample05012  107130       7.45       22.88        40.98        18.0       10.69       
sample05013  100274       14.9       24.34        27.68        13.45      19.63       
sample05014  97014        11.24      31.62        20.86        19.81      16.46       
sample05015  105753       7.04       36.89        29.47        9.6        16.99       
sample05016  102995       9.71       19.99        38.45        12.09      19.76       
sample05017  96384        3.56       20.78        25.03        28.6       22.03       
sample05018  107868       9.67       24.34        38.01        14.63      13.35       
sample05019  103021       10.48      27.2         25.11        14.6       22.61       
sample05020  95211        5.66       20.73        42.38        11.03      20.2        
sample05021  90440        10.13      27.13        29.22        14.08      19.44       
sample05022  100898       14.25      18.72        26.0         17.25      23.78       
sample05023  88249        15.16      24.09        27.22        12.35      21.18       
sample05024  101656       8.85       24.0         27.73        15.05      24.37       
sample05025  105174       13.08      23.35        33.22        7.68       22.67       
sample05026  99429        13.71      24.68        32.78        16.67      12.17       
sample05027  88691        12.79      36.54        29.0         8.19       13.48       
sample05028  92188        10.65      24.41        33.6         10.95      20.39       
sample05029  94466        6.95       22.55        31.1         15.88      23.52       
sample05030  96468        8.31       25.97        34.83        10.73      20.15       
sample05031  104900       8.94       22.51        26.78        18.12      23.65       
sample05032  101097       6.01       21.4         39.81        14.37      18.41       
sample05033  92417        8.24       15.74        34.98        11.22      29.82       
sample05034  91970        11.18      30.18        29.8         11.0       17.84       
sample05035  104046       8.72       29.6         26.74        14.06      20.87       
sample05036  101765       9.92       26.32        27.08        16.28      20.4        
sample05037  91741        18.2       29.88        26.74        7.21       17.96       
sample05038  94363        9.9        26.76        30.51        13.29      19.54       
sample05039  103125       9.58       24.25        31.31        12.54      22.31       
sample05040  93448        10.48      22.34        29.93        13.59      23.66       
sample05041  99887        7.23       25.61        26.12        17.29      23.75       
sample05042  97534        9.58       25.83        33.06        15.29      16.24       
sample05043  100392       9.72       26.2         24.29        15.55      24.24       
sample05044  104055       13.69      21.3         28.12        16.77      20.12       
sample05045  97345        4.41       27.45        34.48        16.31      17.35       
sample05046  104374       5.51       20.07        38.89        10.6       24.94       
sample05047  91242        7.75       31.86        35.0         11.56      13.82       
sample05048  100148       7.63       27.1         32.5         18.78      13.99       
sample05049  99299        13.62      26.87        29.84        12.24      17.43       
sample05050  108366       9.87       22.68        37.39        15.42      14.64       
sample05051  109017       5.93       25.29        40.18        9.61       18.99       
sample05052  91767        7.66       22.54        34.66        17.15      17.99       
sample05053  105223       12.25      21.28        27.31        16.96      22.21       
sample05054  102730       10.8       24.46        28.21        12.33      24.2        
sample05055  102746       11.0       18.07        39.4         8.59       22.94       
sample05056  100344       7.18       25.34        29.76        13.31      24.42       
sample05057  104506       14.26      16.83        30.95        11.79      26.16       
sample05058  89779        12.42      28.76        28.42        9.75       20.64       
sample05059  103369       7.76       26.83        34.63        10.09      20.69       
sample05060  106184       10.67      31.9         22.3         11.37      23.76       
sample05061  100408       10.84      26.8         37.57        10.5       14.3        
sample05062  104182       4.16       18.29        33.45        16.79      27.32       
sample05063  94830        18.31      21.01        27.8         15.16      17.71       
sample05064  103964       18.09      22.15        25.4         13.59      20.78       
sample05065  108848       21.71      25.58        23.5         14.05      15.16       
sample05066  107818       5.41       21.83        35.98        12.51      24.27       
sample05067  109946       9.43       18.29        29.01        16.08      27.19       
sample05068  88998        15.96      23.11        32.6         14.14      14.18       
sample05069  93690        4.15       21.6         30.46        20.28      23.51       
sample05070  96765        11.09      21.3         30.89        19.42      17.3        
sample05071  96768        13.46      23.41        36.21        8.02       18.89       
sample05072  95441        15.06      22.43        29.27        9.55       23.7        
sample05073  94265        11.36      20.37        20.84        23.01      24.42       
sample05074  104184       11.12      27.89        27.63        19.6       13.76       
sample05075  102554       12.4       22.73        35.93        17.64      11.3        
sample05076  109178       9.9        29.86        32.1         14.16      13.98       
sample05077  104284       9.75       30.42        31.09        11.05      17.69       
sample05078  107194       12.71      26.71        30.76        9.12       20.71       
sample05079  108503       9.86       26.63        32.73        12.19      18.6        
sample05080  89331        14.97      24.9         34.32        9.39       16.42       
sample05081  100724       15.73      19.05        31.62        18.28      15.32       
sample05082  100704       6.81       24.12        30.71        13.62      24.74       
sample05083  85796        8.45       18.98        35.32        14.15      23.1        
sample05084  98632        7.28       28.96        31.51        14.44      17.82       
sample05085  92692        7.99       24.36        32.7         13.96      20.99       
sample05086  108488       3.96       34.99        24.82        21.09      15.14       
sample05087  91329        10.6       29.05        28.25        10.53      21.58       
sample05088  95018        8.53       21.99        33.54        19.08      16.86       
sample05089  109358       12.45      15.77        33.03        18.85      19.9        
sample05090  91646        9.32       28.17        28.68        16.48      17.35       
sample05091  103124       7.41       23.57        27.01        21.08      20.93       
sample05092  91165        4.36       23.89        27.56        20.41      23.78       
sample05093  103864       10.79      23.79        28.11        13.44      23.87       
sample05094  98339        8.35       27.71        24.54        18.74      20.65       
sample05095  95759        8.35       23.76        35.2         12.39      20.3        
sample05096  95459        4.02       25.58        30.0         14.83      25.56       
sample05097  99675        10.49      24.1         32.06        17.58      15.77       
sample05098  104937       7.23       27.75        34.74        13.65      16.63       
sample05099  107894       9.64       23.44        35.09        10.46      21.36       
sample05100  90406        8.08       26.31        30.28        20.78      14.55       
sample05101  101808       9.25       20.64        38.12        14.1       17.89       
sample05102  91026        11.14      23.88        37.76        12.56      14.65       
sample05103  95256        10.67      27.32        23.28        20.02      18.71       
sample05104  106836       11.45      23.96        26.55        14.47      23.57       
sample05105  108208       9.02       27.7         27.66        16.05      19.57       
sample05106  91996        6.53       21.97        33.36        16.69      21.46       
sample05107  93920        13.95      23.65        26.81        16.03      19.56       
sample05108  95993        8.14       18.8         32.46        15.36      25.24       
sample05109  100328       9.42       14.38        33.21        16.87      26.12       
sample05110  98299        6.76       25.94        41.25        15.69      10.37       
sample05111  99752        7.48       31.82        25.71        16.19      18.8        
sample05112  111123       9.92       31.19        25.63        17.35      15.9        
sample05113  93750        10.15      25.98        29.7         13.27      20.91       
sample05114  102932       12.17      21.59        29.57        19.51      17.17       
sample05115  105306       9.8        34.5         26.71        13.37      15.63       
sample05116  101100       12.53      16.83        33.83        17.57      19.24       
sample05117  105512       14.3       22.16        31.95        12.38      19.21       
sample05118  96557        7.02       28.43        30.23        14.2       20.11       
sample05119  105967       11.35      22.05        29.63        16.39      20.58       
sample05120  94551        8.95       27.49        37.76        7.87       17.93       
sample05121  108576       8.43       25.58        26.17        13.21      26.6        
sample05122  97598        9.58       27.85        34.21        12.97      15.39       
sample05123  99492        9.77       33.98        27.96        13.07      15.22       
sample05124  100824       8.6        16.12        23.23        21.19      30.85       
sample05125  96077        8.3        26.68        23.03        18.53      23.46       
sample05126  98753        9.69       20.59        26.54        15.06      28.11       
sample05127  101318       7.99       23.29        30.66        18.26      19.8        
sample05128  103312       10.72      20.99        31.03        16.65      20.61       
sample05129  98416        14.2       23.6         34.95        13.49      13.77       
sample05130  100988       11.38      25.4         28.79        13.86      20.58       
sample05131  93284        10.88      30.97        27.29        13.8       17.06       
sample05132  106425       8.32       22.33        26.9         17.45      25.0        
sample05133  97714        5.02       26.19        37.19        17.05      14.55       
sample05134  93477        14.41      25.51        19.03        20.55      20.49       
sample05135  101366       13.42      26.66        24.59        20.54      14.79       
sample05136  104764       7.18       31.14        39.46        11.57      10.64       
sample05137  99017        6.24       31.29        24.73        16.35      21.39       
sample05138  94177        9.54       28.37        25.43        15.29      21.37       
sample05139  108959       7.1        27.45        26.15        23.64      15.66       
sample05140  101776       9.09       27.47        33.37        13.61      16.46       
sample05141  96742        10.54      27.52        30.84        10.09      21.02       
sample05142  103907       9.26       20.54        29.2         18.8       22.2        
sample05143  95563        6.63       31.58        27.55        12.47      21.77       
sample05144  89127        11.19      29.08        30.77        11.92      17.03       
sample05145  101101       6.68       28.81        24.94        17.85      21.71       
sample05146  92460        8.18       34.29        30.11        13.1       14.32       
sample05147  97317        8.09       27.73        30.65        17.02      16.51       
sample05148  102988       6.5        23.76        31.81        11.93      25.99       
sample05149  97745        13.39      24.52        27.67        18.29      16.12       
sample05150  104177       6.73       29.49        29.26        17.78      16.75       
sample05151  99430        11.29      25.33        26.99        8.18       28.21       
sample05152  102262       9.77       27.48        30.85        15.42      16.48       
sample05153  90865        7.74       26.56        22.22        12.8       30.69       
sample05154  90414        12.6       21.93        31.5         19.2       14.78       
sample05155  92495        15.67      26.95        30.13        9.85       17.4        
sample05156  104070       13.96      24.99        30.07        17.15      13.83       
sample05157  99128        4.52       32.21        23.89        16.64      22.74       
sample05158  107079       10.85      34.99        27.88        12.0       14.28       
sample05159  92106        8.63       34.63        33.98        12.66      10.1        
sample05160  92532        11.36      25.67        26.96        19.03      16.98       
sample05161  105062       9.7        22.52        32.0         19.05      16.73       
sample05162  107024       17.62      25.95        18.58        12.12      25.74       
sample05163  93268        9.01       32.64        27.44        11.98      18.93       
sample05164  107588       5.76       25.33        25.82        19.24      23.85       
sample05165  110638       8.32       30.63        32.63        16.67      11.75       
sample05166  103360       7.99       25.73        36.34        9.14       20.81       
sample05167  104438       5.09       27.7         42.11        9.0        16.09       
sample05168  110571       8.78       19.57        43.0         11.11      17.54       
sample05169  95896        6.81       25.19        31.33        13.09      23.59       
sample05170  100953       9.42       22.11        27.94        18.02      22.52       
sample05171  100151       7.45       31.62        25.91        14.23      20.79       
sample05172  102754       7.6        27.16        32.08        15.28      17.89       
sample05173  97398        9.63       26.68        38.24        12.01      13.45       
sample05174  107198       10.28      27.21        38.47        7.77       16.28       
sample05175  89797        6.73       32.13        35.08        10.68      15.39       
sample05176  106657       6.42       24.1         24.59        21.47      23.42       
sample05177  109349       8.7        28.42        25.26        21.11      16.51       
sample05178  101917       12.46      21.9         39.56        12.45      13.63       
sample05179  89956        6.95       21.24        38.32        15.13      18.36       
sample05180  108345       10.6       26.91        27.01        14.8       20.68       
sample05181  105064       8.85       33.87        24.42        19.82      13.04       
sample05182  94382        9.37       21.59        34.42        15.88      18.75       
sample05183  108329       10.47      29.3         30.43        10.68      19.11       
sample05184  109520       20.97      20.51        31.42        10.62      16.48       
sample05185  100760       8.63       24.18        38.44        7.53       21.22       
sample05186  93367        6.89       29.7         29.99        14.0       19.41       
sample05187  89459        12.86      23.27        26.49        12.24      25.15       
sample05188  103764       11.41      23.04        34.89        13.35      17.31       
sample05189  101036       11.82      21.37        23.45        24.23      19.12       
sample05190  88968        11.76      29.02        27.38        11.92      19.92       
sample05191  101200       7.95       25.33        34.45        16.24      16.03       
sample05192  105663       13.64      27.02        26.58        10.48      22.28       
sample05193  104738       9.5        21.91        33.49        16.71      18.39       
sample05194  100597       7.38       25.08        35.57        13.69      18.28       
sample05195  89813        6.25       24.4         30.61        21.01      17.73       
sample05196  93164        10.0       26.52        30.97        17.75      14.76       
sample05197  107622       9.04       25.61        34.57        12.15      18.64       
sample05198  101712       11.81      28.23        27.43        14.95      17.57       
sample05199  97352        13.02      26.07        29.33        13.54      18.05       
sample05200  100711       10.37      26.47        27.9         12.97      22.3        
sample05201  91524        8.36       31.74        33.08        11.93      14.89       
sample05202  100020       15.55      26.81        35.0         6.3        16.34       
sample05203  104169       13.25      20.67        32.06        12.34      21.68       
sample05204  99539        11.33      19.68        28.04        14.04      26.9        
sample05205  100506       15.44      25.71        34.55        10.68      13.63       
sample05206  97716        9.92       18.11        42.54        10.0       19.43       
sample05207  105264       8.82       14.16        36.27        18.37      22.38       
sample05208  100098       8.62       17.4         33.01        19.25      21.73       
sample05209  91438        6.64       31.11        23.34        14.97      23.93       
sample05210  98891        9.22       23.46        29.83        16.47      21.02       
sample05211  100693       6.21       24.99        37.38        13.36      18.06       
sample05212  95306        8.71       25.6         40.39        7.5        17.8        
sample05213  93785        13.64      14.78        44.88        13.46      13.24       
sample05214  95102        14.01      26.49        29.97        8.38       21.15       
sample05215  109191       8.45       23.51        31.55        13.07      23.43       
sample05216  111158       7.53       14.86        40.05        13.54      24.01       
sample05217  96058        7.71       19.22        36.01        21.41      15.64       
sample05218  104092       6.5        22.83        32.63        14.92      23.12       
sample05219  96985        15.11      19.06        40.93        9.46       15.44       
sample05220  100455       12.41      34.29        27.1         13.26      12.95       
sample05221  100439       4.41       22.12        32.24        23.07      18.15       
sample05222  97965        17.17      26.68        29.2         9.63       17.33       
sample05223  103964       12.76      23.1         31.88        11.0       21.26       
sample05224  104922       10.97      25.11        33.91        10.41      19.59       
sample05225  108015       9.7        26.2         24.67        19.32      20.1        
sample05226  109833       12.86      21.33        28.85        22.3       14.65       
sample05227  100314       13.27      18.77        23.09        21.9       22.97       
sample05228  101186       8.05       18.27        36.01        19.27      18.4        
sample05229  111403       10.41      31.73        26.63        11.45      19.78       
sample05230  99927        7.89       24.5         29.99        15.65      21.97       
sample05231  101136       8.09       19.52        30.06        15.9       26.42       
sample05232  114629       14.17      22.35        28.96        15.68      18.83       
sample05233  111576       9.65       29.36        27.49        14.5       18.99       
sample05234  97033        8.74       24.57        33.26        13.18      20.25       
sample05235  105613       8.35       25.65        33.21        21.2       11.59       
sample05236  104206       6.86       29.4         20.26        16.72      26.77       
sample05237  109222       11.62      28.84        27.08        11.46      21.0        
sample05238  109159       7.7        30.71        27.85        11.95      21.8        
sample05239  108381       3.21       25.65        34.88        18.67      17.57       
sample05240  98987        8.63       36.95        34.05        10.77      9.6         
sample05241  93577        9.6        22.66        31.35        18.87      17.53       
sample05242  91729        8.95       25.37        30.57        16.63      18.48       
sample05243  90433        12.19      23.22        26.19        13.18      25.22       
sample05244  97137        12.44      17.2         36.1         14.69      19.57       
sample05245  95373        7.5        25.04        31.63        14.16      21.66       
sample05246  93968        9.47       24.22        31.05        13.01      22.24       
sample05247  102707       11.06      25.68        26.71        16.97      19.59       
sample05248  103734       5.91       31.59        28.14        14.85      19.52       
sample05249  98924        17.61      22.54        28.9         16.51      14.44       
sample05250  94206        7.95       30.55        32.47        11.98      17.06       
sample05251  98279        11.35      29.32        30.87        12.03      16.42       
sample05252  98221        8.92       19.91        34.77        12.59      23.81       
sample05253  93723        7.48       32.93        30.5         9.34       19.76       
sample05254  89646        11.1       19.27        24.21        16.85      28.57       
sample05255  110234       10.35      24.76        36.1         14.54      14.25       
sample05256  106281       8.24       28.01        26.67        18.13      18.95       
sample05257  99528        8.17       16.25        33.13        20.21      22.25       
sample05258  107293       8.52       20.81        32.78        12.16      25.73       
sample05259  104024       13.21      28.28        34.86        12.53      11.12       
sample05260  102444       8.79       18.16        42.59        13.23      17.23       
sample05261  109675       15.66      16.19        29.97        14.1       24.07       
sample05262  99881        3.2        30.56        29.54        11.88      24.82       
sample05263  103216       11.79      30.87        26.02        14.4       16.92       
sample05264  105372       10.43      33.27        25.09        15.04      16.17       
sample05265  107840       11.05      27.3         33.67        12.88      15.1        
sample05266  105435       10.12      19.14        37.06        11.65      22.03       
sample05267  109551       9.46       23.78        34.73        12.0       20.02       
sample05268  103657       13.65      24.4         29.36        12.33      20.26       
sample05269  96120        11.84      22.04        30.51        14.99      20.62       
sample05270  103245       10.35      24.03        29.48        15.05      21.09       
sample05271  97056        13.71      24.78        27.65        13.66      20.2        
sample05272  107399       9.61       23.52        23.89        17.55      25.43       
sample05273  93975        11.03      26.93        25.86        17.76      18.42       
sample05274  98749        4.51       20.73        34.05        16.34      24.36       
sample05275  101796       17.12      22.74        34.75        11.62      13.78       
sample05276  104822       5.34       22.66        36.4         21.17      14.43       
sample05277  106119       10.36      16.8         41.21        11.74      19.89       
sample05278  100603       10.22      26.58        28.95        16.29      17.96       
sample05279  92169        10.7       21.36        32.45        15.45      20.04       
sample05280  112182       11.18      27.74        33.51        9.05       18.53       
sample05281  95617        14.15      23.26        22.92        20.94      18.72       
sample05282  101123       8.14       32.27        30.04        14.06      15.49       
sample05283  90744        9.71       30.04        29.8         13.41      17.04       
sample05284  94923        12.06      25.32        27.38        13.43      21.82       
sample05285  93379        9.4        26.8         27.33        13.46      23.01       
sample05286  98962        10.45      24.32        34.78        8.23       22.22       
sample05287  94635        6.72       30.56        27.46        19.02      16.24       
sample05288  94960        8.9        25.57        25.4         19.18      20.96       
sample05289  95444        8.84       27.71        33.9         13.73      15.82       
sample05290  105274       5.87       23.41        34.25        11.4       25.06       
sample05291  105032       16.03      26.57        23.5         11.89      22.0        
sample05292  94666        8.57       18.03        27.7         12.54      33.16       
sample05293  97444        15.21      20.04        20.73        11.32      32.7        
sample05294  94837        7.23       37.14        26.98        11.86      16.79       
sample05295  98377        10.14      22.04        24.23        18.91      24.68       
sample05296  94992        13.27      25.7         25.48        17.86      17.68       
sample05297  105645       9.21       20.83        33.59        19.5       16.87       
sample05298  101917       8.88       20.01        27.24        23.56      20.32       
sample05299  101251       10.17      26.04        35.59        9.93       18.28       
sample05300  94464        10.43      27.09        25.22        15.57      21.69       
sample05301  95263        13.71      18.93        25.0         12.35      30.01       
sample05302  109957       9.18       27.85        34.28        7.4        21.29       
sample05303  93516        3.54       28.42        28.67        18.58      20.79       
sample05304  91506        12.28      24.48        29.56        15.27      18.41       
sample05305  97337        8.71       20.67        36.23        9.73       24.66       
sample05306  93332        8.02       21.08        26.79        22.34      21.77       
sample05307  102353       13.44      18.74        33.96        7.75       26.12       
sample05308  106723       9.74       24.64        32.01        19.15      14.45       
sample05309  112319       4.47       29.23        36.41        9.77       20.12       
sample05310  100284       7.44       26.14        31.0         14.44      20.98       
sample05311  102454       7.78       23.2         33.31        15.52      20.19       
sample05312  105964       10.07      32.58        34.02        14.88      8.45        
sample05313  100539       11.42      22.84        29.0         19.98      16.76       
sample05314  105944       7.8        19.87        34.4         10.44      27.48       
sample05315  93437        11.38      27.8         37.16        10.98      12.68       
sample05316  105574       5.75       23.43        25.9         15.82      29.1        
sample05317  104664       9.39       25.16        36.81        9.5        19.14       
sample05318  103489       19.64      21.59        29.71        13.58      15.48       
sample05319  97362        9.31       28.41        26.34        11.61      24.33       
sample05320  98629        9.19       23.1         32.04        14.66      21.01       
sample05321  93663        7.36       23.22        35.14        17.27      17.01       
sample05322  92587        9.89       20.77        33.29        12.53      23.51       
sample05323  96215        7.49       25.05        25.27        15.08      27.11       
sample05324  92401        9.87       21.8         28.49        11.91      27.92       
sample05325  94853        6.88       31.29        29.23        21.08      11.51       
sample05326  98689        5.62       26.33        21.78        22.93      23.33       
sample05327  103025       7.52       28.85        27.14        20.44      16.05       
sample05328  93464        7.88       17.08        42.71        15.09      17.24       
sample05329  94629        5.84       27.1         25.55        15.54      25.97       
sample05330  98311        13.21      19.85        27.32        13.86      25.76       
sample05331  95545        8.65       26.36        36.23        14.19      14.56       
sample05332  99788        9.45       25.31        28.19        17.53      19.52       
sample05333  108628       11.91      27.16        30.74        13.76      16.42       
sample05334  105592       10.01      31.4         26.7         11.7       20.18       
sample05335  96719        7.45       31.69        24.69        13.67      22.51       
sample05336  102367       11.18      23.12        32.47        14.05      19.18       
sample05337  95454        6.07       30.04        28.55        15.38      19.96       
sample05338  108833       8.97       20.69        24.24        21.54      24.55       
sample05339  91927        7.39       29.6         26.14        19.39      17.48       
sample05340  94573        7.22       19.73        35.13        17.44      20.49       
sample05341  102956       20.07      20.66        25.83        14.67      18.78       
sample05342  101503       4.61       30.29        29.23        16.01      19.86       
sample05343  103447       9.23       19.6         33.16        13.27      24.75       
sample05344  99072        11.8       19.17        30.96        16.62      21.47       
sample05345  108169       15.4       25.35        30.49        13.38      15.37       
sample05346  104944       17.0       21.61        20.44        19.55      21.41       
sample05347  105431       11.52      25.02        24.94        15.86      22.65       
sample05348  97143        16.31      21.38        28.99        8.11       25.21       
sample05349  100665       7.39       23.02        26.46        22.67      20.47       
